tag,site,condition,layer,mean_delta,ci_lo,ci_hi,flip_rate,n
instruct,rparen,inject,31,0,0,0,0.735,200
instruct,rparen,random,0,0,-0.008125,0.00875,0.75,200
instruct,rparen,random,2,0.00125,-0.008125,0.010625,0.76,200
instruct,rparen,random,4,0.005,-0.00375,0.01375,0.76,200
instruct,rparen,random,6,0.00625,-0.0025,0.015,0.725,200
instruct,rparen,random,8,0.00375,-0.004375,0.011875,0.76,200
instruct,rparen,random,10,0.00125,-0.008125,0.010625,0.73,200
instruct,rparen,random,12,0.00625,-0.003125,0.015625,0.74,200
instruct,rparen,random,14,0.0025,-0.00625,0.01125,0.74,200
instruct,rparen,random,16,0.005625,-0.003125,0.014375,0.735,200
instruct,rparen,random,18,0.0025,-0.005625,0.010625,0.75,200
instruct,rparen,random,20,0.008125,-0.000625,0.016875,0.77,200
instruct,rparen,random,22,0.00375,-0.005,0.011875,0.735,200
instruct,rparen,random,24,0.00375,-0.004375,0.0125,0.76,200
instruct,rparen,random,26,0.003125,-0.005,0.01125,0.74,200
instruct,rparen,random,28,0.0025,-0.005625,0.010625,0.74,200
instruct,rparen,random,30,0.000625,-0.005,0.005625,0.735,200
instruct,rparen,random,31,0,0,0,0.735,200
instruct,rparen,shuffled,0,0.00375,-0.004375,0.0125,0.725,200
instruct,rparen,shuffled,2,0.005,-0.00375,0.01375,0.715,200
instruct,rparen,shuffled,4,0.004375,-0.005,0.01375,0.75,200
instruct,rparen,shuffled,6,0.003125,-0.005625,0.011875,0.75,200
instruct,rparen,shuffled,8,0.003125,-0.005625,0.011875,0.75,200
instruct,rparen,shuffled,10,0.001875,-0.0075,0.010625,0.74,200
instruct,rparen,shuffled,12,0.0025,-0.006875,0.011875,0.72,200
instruct,rparen,shuffled,14,0.001875,-0.0075,0.01125,0.755,200
instruct,rparen,shuffled,16,0.00375,-0.005,0.0125,0.735,200
instruct,rparen,shuffled,18,0.008125,-0.000625,0.016875,0.765,200
instruct,rparen,shuffled,20,0.006875,-0.001875,0.015625,0.75,200
instruct,rparen,shuffled,22,0,-0.008125,0.008125,0.735,200
instruct,rparen,shuffled,24,0.008125,-0.000625,0.01625,0.765,200
instruct,rparen,shuffled,26,-0.00375,-0.01125,0.00375,0.75,200
instruct,rparen,shuffled,28,0.0025,-0.005,0.01,0.755,200
instruct,rparen,shuffled,30,0.000625,-0.005625,0.006875,0.735,200
instruct,rparen,shuffled,31,0,0,0,0.735,200
instruct,equals,inject,0,0.000625,-0.00875,0.01,0.705,200
instruct,equals,inject,2,0.00125,-0.006875,0.009375,0.73,200
instruct,equals,inject,4,0.00375,-0.005625,0.013125,0.74,200
instruct,equals,inject,6,0.00625,-0.001875,0.015,0.735,200
instruct,equals,inject,8,-0.003125,-0.0125,0.005625,0.73,200
instruct,equals,inject,10,-0.000625,-0.009375,0.008125,0.735,200
instruct,equals,inject,12,0.008125,0,0.01625,0.75,200
instruct,equals,inject,14,0.004375,-0.004375,0.0125,0.755,200
instruct,equals,inject,16,0.0075,-0.001875,0.016875,0.76,200
instruct,equals,inject,18,0.003125,-0.004375,0.010625,0.75,200
instruct,equals,inject,20,0.003125,-0.005625,0.011875,0.74,200
instruct,equals,inject,22,0.005,-0.003125,0.013125,0.755,200
instruct,equals,inject,24,0.006875,-0.00125,0.015,0.765,200
instruct,equals,inject,26,0.00125,-0.0075,0.01,0.74,200
instruct,equals,inject,28,0.00125,-0.00626563,0.009375,0.75,200
instruct,equals,inject,30,-0.000625,-0.008125,0.006875,0.765,200
instruct,equals,inject,31,0.0025,-0.003125,0.008125,0.76,200
instruct,equals,random,0,0.00125,-0.0075,0.01,0.755,200
instruct,equals,random,2,0.0025,-0.005625,0.010625,0.73,200
instruct,equals,random,4,0.010625,0.001875,0.019375,0.75,200
instruct,equals,random,6,0.006875,-0.001875,0.015625,0.72,200
instruct,equals,random,8,0.00625,-0.0025,0.015,0.76,200
instruct,equals,random,10,0.0025,-0.00625,0.01125,0.72,200
instruct,equals,random,12,0.00125,-0.0075,0.01,0.735,200
instruct,equals,random,14,0,-0.00875,0.00875,0.735,200
instruct,equals,random,16,0.004375,-0.004375,0.013125,0.74,200
instruct,equals,random,18,0.001875,-0.005625,0.009375,0.73,200
instruct,equals,random,20,0.0025,-0.005625,0.010625,0.75,200
instruct,equals,random,22,0.000625,-0.0075,0.00875,0.745,200
instruct,equals,random,24,0.004375,-0.004375,0.013125,0.745,200
instruct,equals,random,26,0.00125,-0.0075,0.01,0.74,200
instruct,equals,random,28,0.00625,-0.00125,0.01375,0.76,200
instruct,equals,random,30,0.00125,-0.00625,0.00875,0.745,200
instruct,equals,random,31,0.005,-0.000625,0.010625,0.75,200
instruct,equals,shuffled,0,0.006875,-0.001875,0.015625,0.74,200
instruct,equals,shuffled,2,0.003125,-0.005625,0.011875,0.73,200
instruct,equals,shuffled,4,0.0025,-0.00625,0.01125,0.75,200
instruct,equals,shuffled,6,0.005625,-0.0025,0.01375,0.735,200
instruct,equals,shuffled,8,-0.0025,-0.01125,0.005625,0.705,200
instruct,equals,shuffled,10,-0.000625,-0.009375,0.008125,0.735,200
instruct,equals,shuffled,12,0.003125,-0.00625,0.0125,0.74,200
instruct,equals,shuffled,14,0.003125,-0.00625,0.013125,0.725,200
instruct,equals,shuffled,16,0.000625,-0.00875,0.01,0.715,200
instruct,equals,shuffled,18,0.00375,-0.00501563,0.013125,0.725,200
